Date,Open,High,Low,Close,Adj Close,Volume,,,,,,,,,,,,,
01/07/2021,111.93,111.93,111.93,111.82,101.84,4,,,,,,,,,,,,,
02/07/2021,111.93,112.17,111.93,112.1,102.09,187,,,,,,,,,,,,,
05/07/2021,112,112.25,112,112.04,102.04,187,,,,,,,,,,,,,
06/07/2021,112.43,112.72,112.43,112.57,102.52,806,,,,,,,,,,,,,
07/07/2021,112.65,112.92,112.38,112.71,102.65,656,,,,,,,,,,,,,
08/07/2021,113,113,112.83,112.78,102.71,1013,,,,,,,,,,,,,
09/07/2021,112.46,112.46,112.46,112.46,102.42,-,,,,,,,,,,,,,
12/07/2021,112.63,112.63,112.49,112.49,102.45,1725,,,,,,,,,,,,,
13/07/2021,112.58,112.64,111.68,112.43,102.4,134,,,,,,,,,,,,,
14/07/2021,112.4,112.4,112.4,112.4,102.37,-,,,,,,,,,,,,,
15/07/2021,112.71,112.72,112.71,112.46,102.42,24,,,,,,,,,,,,,
16/07/2021,112.68,112.78,112.68,112.64,102.59,81,,,,,,,,,,,,,
19/07/2021,113.13,113.13,113.13,113.13,103.03,-,,,,,,,,,,,,,
20/07/2021,113.54,113.54,113.07,113.11,103.01,927,,,,,,,,,,,,,
21/07/2021,113.03,113.03,113.03,112.89,102.81,117,,,,,,,,,,,,,
22/07/2021,113,113.01,112.57,112.99,102.9,302,,,,,,,,,,,,,
23/07/2021,112.93,112.93,112.93,112.76,102.7,15,,,,,,,,,,,,,
26/07/2021,112.93,112.93,112.93,112.93,102.85,-,,,,,,,,,,,,,
27/07/2021,113.13,113.13,113.13,112.99,102.9,38,,,,,,,,,,,,,
28/07/2021,113.06,113.06,113.06,112.91,102.83,342,,,,,,,,,,,,,
29/07/2021,113.11,113.11,113.09,113.13,103.03,458,,,,,,,,,,,,,
30/07/2021,112.8,113.3,112.8,113.05,102.96,281,,,,,,,,,,,,,
02/08/2021,112.49,112.49,112.49,112.43,103.33,75,,,,,,,,,,,,,
03/08/2021,112.57,112.57,112.57,112.43,103.33,13,,,,,,,,,,,,,
04/08/2021,112.54,112.74,112.43,112.25,103.16,837,,,,,,,,,,,,,
05/08/2021,112.36,112.36,112.36,112.36,103.26,-,,,,,,,,,,,,,
06/08/2021,112.19,112.19,112.19,111.64,102.6,500,,,,,,,,,,,,,
09/08/2021,111.55,111.75,111.55,111.61,102.58,429,,,,,,,,,,,,,
10/08/2021,111.26,111.26,111.26,111.43,102.4,8,,,,,,,,,,,,,
11/08/2021,111.14,111.31,111.14,111.31,102.29,7263,,,,,,,,,,,,,
