,BlackRock Multi,iShares iBoxx,BlackRock EDF,iShares 20+,Vanguard EIF,Cash
,,,,,,
15/08/2018,8.476035118,67.82518768,13.28333378,109.5344696,26.88698387,22.12686308
,,,,,,
16/08/2018,8.491818428,67.91212463,13.39779758,109.5253677,27.18835258,22.12802016
,,,,,,
17/08/2018,8.507599831,67.9910965,13.46075249,109.6613922,27.33904076,22.12918336
,,,,,,
20/08/2018,8.523385048,68.02272797,13.5122633,110.3955917,27.40362358,22.13267332
,,,,,,
21/08/2018,8.523385048,68.12542725,13.5466013,110.0239487,27.46102524,22.13383676
,,,,,,
22/08/2018,8.531276703,68.14916992,13.55804348,110.4590607,27.38927269,22.13500026
,,,,,,
23/08/2018,8.523385048,68.14124298,13.52943039,110.6312637,27.30316353,22.13616383
,,,,,,
24/08/2018,8.531276703,68.2598114,13.59238338,110.848793,27.43231773,22.13732746
,,,,,,
27/08/2018,8.539170265,68.28348541,13.69539642,110.2143021,27.59018707,22.1408187
,,,,,,
28/08/2018,8.539170265,68.25189972,13.68395233,109.5525589,27.54713821,22.14198257
,,,,,,
29/08/2018,8.539170265,68.21237946,13.72973919,109.6976166,27.61889267,22.1431465
,,,,,,
30/08/2018,8.523385048,68.1570816,13.66678238,109.9332886,27.46102524,22.1443105
,,,,,,
31/08/2018,8.552717209,68.24401093,13.63244438,109.6795044,27.41797638,22.14547455
,,,,,,
04/09/2018,8.536864281,68.10191345,13.59238338,109.0453796,27.32469749,22.15010712
,,,,,,
05/09/2018,8.528938293,68.03051758,13.60955238,108.7546463,27.45384789,22.15127148
,,,,,,
06/09/2018,8.521008492,68.08605957,13.55804348,109.1543808,27.38927269,22.1524359
,,,,,,
07/09/2018,8.505155563,68.01462555,13.5466013,108.2277222,27.31034279,22.15360038
,,,,,,
10/09/2018,8.513082504,68.14957428,13.5466013,108.6274796,27.34622574,22.15709419
,,,,,,
11/09/2018,8.513082504,68.16542053,13.57521152,107.8007278,27.33186913,22.15825892
,,,,,,
12/09/2018,8.521008492,68.32414246,13.58093739,108.0550995,27.33904076,22.15942371
,,,,,,
13/09/2018,8.528938293,68.45111847,13.61527252,108.2186279,27.46820068,22.16058855
,,,,,,
14/09/2018,8.528938293,68.51461792,13.63816643,107.700798,27.47538567,22.16175346
,,,,,,
17/09/2018,8.521008492,68.4670105,13.62672043,107.700798,27.48255539,22.16524856
,,,,,,
18/09/2018,8.528938293,68.4590683,13.68967819,106.5743103,27.58301544,22.16641372
,,,,,,
19/09/2018,8.528938293,68.33206177,13.72973919,105.9383469,27.59736824,22.16757893
,,,,,,
20/09/2018,8.544788361,68.42732239,13.83275318,106.4289551,27.81980705,22.16874421
,,,,,,
21/09/2018,8.544788361,68.44319153,13.84992409,106.3834991,27.88843346,22.16990955
,,,,,,
24/09/2018,8.528938293,68.41145325,13.76407909,106.1109467,27.66451454,22.17340593
,,,,,,
25/09/2018,8.528938293,68.35588074,13.72401142,106.0019379,27.54171944,22.17457759
,,,,,,
26/09/2018,8.521008492,68.42732239,13.64961624,106.746933,27.41170502,22.1757493
,,,,,,
27/09/2018,8.536864281,68.55431366,13.66678238,106.8195724,27.40448189,22.17692108
,,,,,,
28/09/2018,8.563126564,68.60190582,13.62099838,106.537941,27.4333725,22.17824471
,,,,,,
01/10/2018,8.571084976,68.80042267,13.69539642,105.7558365,27.54171944,22.18221608
,,,,,,
02/10/2018,8.563126564,68.74462891,13.67823029,106.402298,27.62117386,22.18354003
,,,,,,
03/10/2018,8.563126564,68.56126404,13.70684814,104.5539627,27.64283943,22.18486406
,,,,,,
04/10/2018,8.523330688,68.30615234,13.69539642,103.816452,27.61394501,22.18618817
,,,,,,
05/10/2018,8.507413864,68.00320435,13.64389038,102.9241257,27.52004814,22.18751235
,,,,,,
08/10/2018,8.507413864,67.8516922,13.65533638,102.5781326,27.62117386,22.19148539
,,,,,,
09/10/2018,8.499457359,67.9553833,13.62672043,103.6161346,27.53450203,22.19280989
,,,,,,
10/10/2018,8.443745613,67.46905518,13.31194973,103.3338623,26.89163971,22.19413447
,,,,,,
11/10/2018,8.403960228,67.52485657,13.00536537,104.5903702,26.21267319,22.19545913
,,,,,,
12/10/2018,8.419874191,67.88363647,13.10315037,104.226181,26.35713005,22.19678387
,,,,,,
15/10/2018,8.411916733,67.83576202,13.06863976,104.1806793,26.29934502,22.20075856
,,,,,,
16/10/2018,8.45170784,68.06700897,13.29297066,104.4173737,26.68217087,22.20208362
,,,,,,
17/10/2018,8.443745613,67.93144989,13.3159771,103.7982254,26.73995399,22.20340875
,,,,,,
18/10/2018,8.411916733,67.64444733,13.17217541,103.7617798,26.49436569,22.20474004
,,,,,,
19/10/2018,8.403960228,67.68428802,13.19518375,103.5341873,26.5449295,22.20607142
,,,,,,
22/10/2018,8.395999908,67.71619415,13.03987885,103.3975983,26.34268761,22.21006601
,,,,,,
23/10/2018,8.372124672,67.65240479,12.95935249,103.7253952,26.17655563,22.2113977
,,,,,,
24/10/2018,8.332334518,67.31757355,12.64298916,104.5084457,25.62037086,22.21273556
,,,,,,
25/10/2018,8.348248482,67.45310974,12.78678799,104.0713806,25.86595917,22.21407349
,,,,,,
26/10/2018,8.324376106,67.15022278,12.63148308,104.699646,25.59870338,22.2154115
,,,,,,
29/10/2018,8.308459282,67.08638,12.63723755,104.4629059,25.63481903,22.21942603
,,,,,,
30/10/2018,8.324376106,67.24582672,12.7925415,103.9439011,26.06820297,22.22076437
,,,,,,
31/10/2018,8.377129555,67.24582672,12.90182877,103.4158096,26.14043427,22.22210278
,,,,,,
01/11/2018,8.409105301,67.55428314,12.9651022,103.5116501,26.40046883,22.22344128
,,,,,,
02/11/2018,8.401112556,67.51422882,12.94784451,102.2247086,26.31379318,22.22477986
,,,,,,
05/11/2018,8.417099953,67.57032776,13.07439137,102.6263123,26.58104706,22.22877782
,,,,,,
06/11/2018,8.417099953,67.74655151,13.10890293,102.562439,26.71106148,22.23011672
,,,,,,
07/11/2018,8.465060234,68.13915253,13.33323479,102.6992874,27.10832977,22.2314557
,,,,,,
08/11/2018,8.457065582,67.97089386,13.29297066,102.6901779,27.06499863,22.23279476
,,,,,,
09/11/2018,8.433085442,67.58634949,13.18943405,103.4568634,26.94942474,22.2341339
,,,,,,
12/11/2018,8.409105301,67.16970062,12.97660637,104.1322861,26.64605522,22.23813355
,,,,,,
13/11/2018,8.385124207,67.05755615,12.95359898,104.0684204,26.58827209,22.23946692
,,,,,,
14/11/2018,8.369139671,66.92935181,12.85581493,104.1322861,26.44380188,22.24080647
,,,,,,
